"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\battleships.py", "Python", 250, 0, 0, 22, 44, 316
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\explorer.py", "Python", 134, 0, 0, 27, 17, 178
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\glidybird.py", "Python", 63, 0, 0, 5, 23, 91
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\mail.py", "Python", 117, 0, 0, 21, 22, 160
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\maze.py", "Python", 366, 0, 0, 125, 60, 551
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\apps\top_secret.py", "Python", 9, 0, 0, 0, 1, 10
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\main.py", "Python", 52, 0, 0, 8, 9, 69
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 2
"c:\Users\ntaul\Code\Hackathons\HN84\python-project\utils.py", "Python", 22, 0, 0, 4, 13, 39
"Total", "-", 1013, 2, 2, 212, 190, 1419
